"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"SVG-000","P0","1","both","冻结 5 页基线样本与 15 页全量样本","在 fork 仓库固化 OceanPPT 的 5 页代表性样本与 15 页全量样本，形成统一 fixtures 目录。边界是不修改原始 SVG，只冻结样本输入合同。","存在 5 页代表性样本目录和 15 页全量样本目录；样本来源、版本和用途有说明；新环境可直接复用样本开展回归。","AUTOE2E","Review 样本是否覆盖封面、多栏、卡片、滤镜、复杂文本；确认样本直接来源于 OceanPPT 当前真实 SVG。","回归时要求样本目录结构和命名保持稳定；新增样本必须记录来源和影响范围。","已完成","已完成","已完成","已提交","","tests/fixtures/oceanppt/README.md:1;tests/fixtures/oceanppt/manifest.json:1","picked_reason:Week 1 先冻结输入合同，后续扫描器和回归运行器才有稳定样本源;done_at:2026-03-24;done:新增 tests/fixtures/oceanppt/full_15 与 baseline_5 并记录来源、角色和冻结约束;evidence:full_15=15 files baseline_5=5 files;validation:样本已固定到仓库内，不再依赖 OceanPPT 仓库路径"
"SVG-010","P0","1","backend","建立 SVG 特征扫描器与风险标签输出","把当前 OceanPPT 的 SVG 扫描能力迁移到 fork 仓库，输出 summary.json、每页高风险标签和全量统计。边界是诊断工具，不改导出核心。","扫描器可对 5 页与 15 页样本输出结构化报告；报告包含 transform、gradient、filter、text、tspan、opacity、curve_path 等统计；无漏报的未解析引用。","AUTOSERVER","Review 输出结构是否足以支持后续分工与回归；禁止只保留终端文本输出。","回归时要求报告 schema 稳定，支持跨版本对比；新增样本后可增量扫描。","已完成","已完成","已完成","已提交","","scripts/diag_svg_feature_scan.py:123;tests/test_diagnostics.py:14","picked_reason:先补结构化 SVG 特征扫描，后续 geometry/text/styles/filter 分工与回归才有统一事实源;done_at:2026-03-24;done:新增 diag_svg_feature_scan.py，输出 summary.json、pages/*.json 和风险标签;evidence:full_15 scan totals transform=116 gradient=20 filter=14 text=303 unresolved_refs=0;validation:conda run -n svg2pptx python scripts\diag_svg_feature_scan.py --input-dir tests\fixtures\oceanppt\full_15 --output-dir artifacts\regression_runs\smoke_scan_full_15 --sample-set full_15"
"SVG-020","P1","1","both","建立人工评分模板与回归报告骨架","为布局、文本、样式、层级、可编辑性建立统一评分模板和报告骨架。边界是回归规范，不涉及实际算法修复。","5 页基线样本有统一评分模板；导出结果可关联到页面、问题类型和评分项；报告可后续持续复用。","AUTOE2E","Review 评分模板是否覆盖核心维度；确认人工评分与自动统计可并存。","回归时要求不同开发者按模板打分时结构一致；报告版本可追溯到具体导出结果。","已完成","已完成","已完成","已提交","","docs/regression/manual_score_template.csv:1;docs/regression/baseline_5_manual_score_sheet.csv:1;docs/regression/report_template.md:1","picked_reason:Week 1 需要先把人工评分口径和报告骨架定下来，避免后续回归只有终端日志;done_at:2026-03-24;done:新增统一评分表头、baseline_5 评分表和 markdown 报告骨架;evidence:baseline_5 五页已带 scenario_role 与 artifact_relpath;validation:回归运行器会生成 reports/manual_score.csv 与 reports/regression_report.md"
"SVG-030","P1","1","backend","建立统一回归运行器与 artifacts 目录契约","把样本导出、报告落盘、产物命名和 artifacts 目录布局收成统一运行器，便于多人并行开发。","任意开发者可通过一个统一入口生成 PPTX、summary、评分模板和 artifacts；目录结构固定且可复跑。","AUTOSERVER","Review 运行器参数、输出目录和命名是否可长期维护；禁止每个开发者自行定义不同 artifacts 路径。","回归时要求历史结果可保留且不会互相覆盖；运行器失败时要给出结构化错误。","已完成","已完成","已完成","已提交","","scripts/diag_svg2pptx.py:90;docs/regression/report_template.md:1;.gitignore:204","picked_reason:把样本导出、扫描、评分模板落盘收成单一入口，后续并行开发才能复跑同一 artifacts 合同;done_at:2026-03-24;done:新增 diag_svg2pptx.py，固定 run.json、pptx、reports/svg_scan、manual_score、regression_report 目录契约，并忽略本地 regression_runs;evidence:baseline_5 regression success_count=5 failure_count=0;validation:conda run -n svg2pptx python scripts\diag_svg2pptx.py --sample-dir tests\fixtures\oceanppt\baseline_5 --output-root artifacts\regression_runs --sample-set baseline_5"
"SVG-040","P0","2","backend","修复 parser transform 解析","改造 parser 层 transform 解析，正确处理 translate、scale、rotate、matrix 及其组合。边界先解决 SVG 侧矩阵语义。","5 页基线样本的主要块级元素整体偏移显著下降；新增 transform 单测覆盖常见组合；不依赖页面硬编码偏移。","AUTOSERVER","Review 矩阵乘法顺序、父子继承和异常输入处理；禁止用样本特判。","回归时要求 15 页导出不因 transform 修复崩溃；不得引入新的全页错位。","已完成","已完成","已完成","已提交","","src/svg2pptx/geometry/transforms.py:126;tests/test_parser.py:120;tests/test_geometry.py:152","picked_reason:Week 2 先修 transform 组合顺序根因，geometry 和 writer 才不需要继续补偿;done_at:2026-03-24;done:修正 compose_transforms 的 SVG 顺序，确保 transform 列表按从左到右执行，并补充 translate->scale 与 translate->rotate 组合单测;evidence:72 tests passed; full_15_transform_fix regression page_count=15 success_count=15 failure_count=0;validation:conda run -n svg2pptx python -m pytest tests\test_parser.py tests\test_geometry.py tests\test_converter.py && conda run -n svg2pptx python scripts\diag_svg2pptx.py --sample-dir tests\fixtures\oceanppt\full_15 --output-root artifacts\regression_runs --sample-set full_15_transform_fix"
"SVG-050","P0","2","backend","修复 geometry 矩阵与父子坐标合成","在 geometry 层补齐矩阵合成、局部坐标转全局坐标和父子 group 相对位置保持。","嵌套 translate/scale group 下，基础图形导出的全局坐标与尺寸正确；grouped 与 flattened 两条链路产出的关键 bbox 一致；新增单测覆盖矩阵合成与父子坐标转换。","AUTOSERVER","Review geometry 层是否统一产出全局坐标/尺寸；禁止在 writer 层为 grouped/flattened 分别写补偿分支。","回归 grouped 与 flattened 两条链路的嵌套 group 样例；确认复杂 group 页面不再出现整体漂移或局部缩放丢失。","已完成","已完成","已完成","已提交","","src/svg2pptx/geometry/transforms.py:165;src/svg2pptx/pptx_writer/shapes.py:70;tests/test_geometry.py:165;tests/test_converter.py:136","parallel_lane:geometry;week:2;picked_reason:首个未闭环 P0 几何问题，直接影响后续坐标映射与分组写入精度;done_at:2026-03-24;done:在 geometry 层新增 rect/ellipse 全局 bbox 投影，writer 统一消费投影结果;evidence:75 tests passed; baseline_5_geometry page_count=5 success_count=5 failure_count=0;validation:conda run -n svg2pptx python -m pytest tests\\test_parser.py tests\\test_geometry.py tests\\test_converter.py -q && conda run -n svg2pptx python scripts\\diag_svg2pptx.py --sample-dir tests\\fixtures\\oceanppt\\baseline_5 --output-root artifacts\\regression_runs --sample-set baseline_5_geometry"
"SVG-060","P0","2","backend","统一 viewBox 到 PPT 页面坐标映射","建立 1280x720 SVG 画布到 PPT 页面尺寸的统一归一化规则，消除缩放不一致。","5 页基线样本统一按同一规则映射；不再出现同页整体偏大或偏小；坐标换算有测试。","AUTOSERVER","Review SVG 画布尺寸与 PPT 尺寸契约是否唯一；禁止不同 shape 类型私自缩放。","回归时要求 15 页都使用同一映射；修复后不得新增整体缩放失真。","已完成","已完成","已完成","已提交","","src/svg2pptx/converter.py:173;src/svg2pptx/converter.py:200;tests/test_converter.py:169;scripts/diag_svg2pptx.py:51","parallel_lane:geometry;week:2;picked_reason:同阶段 P0 视口映射问题，继续沿 geometry 主线减少上下文切换;done_at:2026-03-24;done:把 viewBox 到页面的映射收成统一文档级仿射变换，避免 writer 再用平均 scale 处理; evidence:76 tests passed; baseline_5_viewbox page_count=5 success_count=5 failure_count=0; full_15_viewbox page_count=15 success_count=15 failure_count=0;validation:conda run -n svg2pptx python -m pytest tests\\test_parser.py tests\\test_geometry.py tests\\test_converter.py -q && conda run -n svg2pptx python scripts\\diag_svg2pptx.py --sample-dir tests\\fixtures\\oceanppt\\baseline_5 --output-root artifacts\\regression_runs --sample-set baseline_5_viewbox && conda run -n svg2pptx python scripts\\diag_svg2pptx.py --sample-dir tests\\fixtures\\oceanppt\\full_15 --output-root artifacts\\regression_runs --sample-set full_15_viewbox"
"SVG-070","P0","3","backend","重建 text 与 tspan 中间表示","补齐 text、tspan、dx、dy、letter-spacing、font-family 等解析，形成稳定中间结构。","5 页基线样本中的主要文本均能解析为结构化对象；tspan 不再简单拍平；中文文本不会整体缺失。","AUTOSERVER","Review text-anchor、dx/dy、字体样式是否保留；禁止复杂文本直接退化成单一字符串。","回归时要求解析结构可追踪到原始 SVG 节点；15 页不得出现原本有文本却解析为空。","已完成","已完成","已完成","已提交","","src/svg2pptx/parser/svg_parser.py:74;src/svg2pptx/parser/svg_parser.py:338;src/svg2pptx/parser/styles.py:484;tests/test_parser.py:257;tests/test_parser.py:319","parallel_lane:text;week:3;picked_reason:首个未闭环 P0 文本基础能力，直接决定后续文本 writer 与中文布局能否稳定推进;done_at:2026-03-24;done:新增 TextSpan 结构，保留 tspan/dx/dy/source_kind 与 letter-spacing 解析，同时维持现有 TextElement.text 兼容 writer;evidence:80 tests passed; baseline_5_text_ir page_count=5 success_count=5 failure_count=0; full_15_text_ir page_count=15 success_count=15 failure_count=0;validation:conda run -n svg2pptx python -m pytest tests\\test_parser.py tests\\test_geometry.py tests\\test_converter.py -q && conda run -n svg2pptx python scripts\\diag_svg2pptx.py --sample-dir tests\\fixtures\\oceanppt\\baseline_5 --output-root artifacts\\regression_runs --sample-set baseline_5_text_ir && conda run -n svg2pptx python scripts\\diag_svg2pptx.py --sample-dir tests\\fixtures\\oceanppt\\full_15 --output-root artifacts\\regression_runs --sample-set full_15_text_ir"
"SVG-080","P0","3","backend","实现 PPT 文本框与 run 写入","改造 PPT 文本 writer，把中间表示写成可编辑文本框、段落和 run，保留字号、粗细、颜色和对齐。","5 页基线样本主要标题和正文在 PPT 中可编辑；大段文本不再整体消失；主要字号和对齐基本正确。","AUTOSERVER","Review text box 尺寸、run 切分和 anchor 处理；禁止通过大量绝对定位小文本框拼 tspan。","回归时要求至少 3 页复杂文本样本通过人工检查；15 页全量不得新增文本越界重叠。","已完成","已完成","已完成","已提交","","src/svg2pptx/pptx_writer/text.py:15;src/svg2pptx/pptx_writer/text.py:114;src/svg2pptx/pptx_writer/text.py:151;tests/test_converter.py:191;tests/test_converter.py:230","parallel_lane:text;week:3;picked_reason:文本 IR 已到位，继续把可编辑文本框与 run 写入接上，避免文本链路再次断档;done_at:2026-03-24;done:一个 text 元素只生成一个文本框，按 dy/y 切段落、按 span 切 run，并保留字号/粗细/颜色/anchor;evidence:83 tests passed; baseline_5_text_writer page_count=5 success_count=5 failure_count=0; full_15_text_writer page_count=15 success_count=15 failure_count=0;validation_limited:当前终端环境无法真实打开 PowerPoint 对 3 页复杂文本做人工视觉验收;manual_test:在 PowerPoint 打开 artifacts\\regression_runs\\2026-03-24_02-53-51_baseline_5_text_writer\\pptx 与 artifacts\\regression_runs\\2026-03-24_02-53-51_full_15_text_writer\\pptx，重点抽查 slide_006 slide_008 slide_015 的段落分行、run 样式与对齐;evidence_detail:test_text_writer_preserves_inline_tspan_runs/test_text_writer_turns_multiline_tspan_into_paragraphs/test_text_writer_handles_oceanppt_fixture_tspans 已覆盖 inline tspan、多段落 tspan、真实样本页;risk:medium 文本框宽高仍为估算值，复杂页面的换行与视觉对齐仍需人工复核"
"SVG-090","P1","3","backend","处理中文布局与 text anchor 边界","针对中文文本、混排和 text-anchor 等场景补齐布局修正，减少标题偏移和段落断裂。","复杂文本页的标题和标签错位明显下降；text-anchor 导致的左右偏移得到控制；中文文本可读性稳定。","AUTOSERVER","Review 不要把中文布局修正写成固定像素特判；必须总结为可复用规则。","回归时要求复杂文本样本稳定通过；修复后不能破坏英文或数字标签布局。","未开始","未开始","未开始","未提交","","plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-8-week-roadmap.md:240;plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-8-week-roadmap.md:256","parallel_lane:text;week:3"
